ID,RA,DEC,REGION,t25,t50,t75,g25,g50,g75,m25,m50,m75,a25,a50,a75,v25,v50,v75
2M05343282+0959308,83.636773,9.991908,lambdaOrion,4201.0,4215.0,4278.0,4.05,4.09,4.16,-0.1,-0.08,-0.05,-0.04,-0.03,-0.01,24.78,25.21,25.94
2M05343560+0959432,83.648364,9.995361,lambdaOrion,3521.0,3534.0,3591.0,3.44,3.51,3.76,-0.3,-0.27,-0.14,-0.09,-0.08,-0.05,16.22,17.11,19.67
2M05343779+0931529,83.657477,9.531362,lambdaOrion,3869.0,3875.0,3957.0,4.08,4.13,4.16,-0.13,-0.09,-0.08,-0.09,-0.08,-0.06,19.36,19.66,21.03
2M05343921+0952553,83.663384,9.882043,lambdaOrion,3969.0,4075.0,4128.0,3.92,4.04,4.17,-0.12,-0.08,0.01,-0.07,-0.05,-0.01,14.62,14.84,15.49
2M05344708+1018137,83.696169,10.303832,lambdaOrion,3357.0,3390.0,3474.0,3.62,3.66,3.77,0.01,0.05,0.06,-0.09,-0.09,-0.06,14.56,14.73,15.64
2M05344725+1002429,83.696883,10.045274,lambdaOrion,3871.0,3901.0,3997.0,3.71,3.74,3.82,-0.22,-0.2,-0.18,-0.12,-0.11,-0.08,28.64,28.87,29.59
2M05344845+0957156,83.70191,9.954351,lambdaOrion,3780.0,3794.0,3881.0,4.07,4.1,4.16,-0.09,-0.05,-0.04,-0.09,-0.08,-0.05,15.57,15.86,17.55
2M05345045+0951476,83.710211,9.863223,lambdaOrion,3792.0,3863.0,3894.0,4.05,4.09,4.15,-0.1,-0.07,-0.04,-0.08,-0.06,-0.04,24.04,24.36,25.39
2M05345375+0926570,83.723999,9.449167,lambdaOrion,3701.0,3731.0,3826.0,3.7,3.72,3.84,-0.16,-0.13,-0.07,-0.1,-0.09,-0.06,23.78,24.04,25.32
2M05350064+0951510,83.75269,9.864185,lambdaOrion,3522.0,3557.0,3653.0,3.67,3.74,3.83,-0.18,-0.05,0.01,-0.11,-0.1,-0.07,14.8,15.2,16.28
